,id,titel,output,areaLevel1,areaLevel2,areaLevel3
19,"Highest_Algemene wet bestuursrecht, Artikel 4:17","Algemene wet bestuursrecht, Artikel 4:17","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:17</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
20,"Highest_Algemene wet bestuursrecht, Artikel 4:46","Algemene wet bestuursrecht, Artikel 4:46","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:46</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
21,"Highest_Algemene wet bestuursrecht, Artikel 4:5","Algemene wet bestuursrecht, Artikel 4:5","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:5</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
22,"Highest_Algemene wet bestuursrecht, Artikel 4:6","Algemene wet bestuursrecht, Artikel 4:6","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:6</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
23,"Highest_Algemene wet bestuursrecht, Artikel 4:8","Algemene wet bestuursrecht, Artikel 4:8","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:8</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
24,"Highest_Algemene wet bestuursrecht, Artikel 5:25","Algemene wet bestuursrecht, Artikel 5:25","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 5:25</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
25,"Highest_Algemene wet bestuursrecht, Artikel 5:32","Algemene wet bestuursrecht, Artikel 5:32","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 5:32</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
26,"Highest_Algemene wet bestuursrecht, Artikel 5:37","Algemene wet bestuursrecht, Artikel 5:37","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 5:37</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
27,"Highest_Algemene wet bestuursrecht, Artikel 5:46","Algemene wet bestuursrecht, Artikel 5:46","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 5:46</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
28,"Highest_Algemene wet bestuursrecht, Artikel 6:11","Algemene wet bestuursrecht, Artikel 6:11","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:11</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
29,"Highest_Algemene wet bestuursrecht, Artikel 6:12","Algemene wet bestuursrecht, Artikel 6:12","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:12</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
30,"Highest_Algemene wet bestuursrecht, Artikel 6:15","Algemene wet bestuursrecht, Artikel 6:15","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:15</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
31,"Highest_Algemene wet bestuursrecht, Artikel 6:17","Algemene wet bestuursrecht, Artikel 6:17","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:17</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
32,"Highest_Algemene wet bestuursrecht, Artikel 6:19","Algemene wet bestuursrecht, Artikel 6:19","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:19</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
33,"Highest_Algemene wet bestuursrecht, Artikel 6:22","Algemene wet bestuursrecht, Artikel 6:22","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:22</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
34,"Highest_Algemene wet bestuursrecht, Artikel 6:6","Algemene wet bestuursrecht, Artikel 6:6","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:6</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
35,"Highest_Algemene wet bestuursrecht, Artikel 6:7","Algemene wet bestuursrecht, Artikel 6:7","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:7</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
36,"Highest_Algemene wet bestuursrecht, Artikel 7:1","Algemene wet bestuursrecht, Artikel 7:1","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 7:1</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
37,"Highest_Algemene wet bestuursrecht, Artikel 7:10","Algemene wet bestuursrecht, Artikel 7:10","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 7:10</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
38,"Highest_Algemene wet bestuursrecht, Artikel 7:11","Algemene wet bestuursrecht, Artikel 7:11","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 7:11</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
39,"Highest_Algemene wet bestuursrecht, Artikel 7:3","Algemene wet bestuursrecht, Artikel 7:3","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 7:3</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
40,"Highest_Algemene wet bestuursrecht, Artikel 8:1","Algemene wet bestuursrecht, Artikel 8:1","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:1</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
41,"Highest_Algemene wet bestuursrecht, Artikel 8:108","Algemene wet bestuursrecht, Artikel 8:108","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:108</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
42,"Highest_Algemene wet bestuursrecht, Artikel 8:113","Algemene wet bestuursrecht, Artikel 8:113","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:113</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
43,"Highest_Algemene wet bestuursrecht, Artikel 8:114","Algemene wet bestuursrecht, Artikel 8:114","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:114</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
